编号,对应资源编号,位置,缩放
75,3002,"0.32,1,-28.3",
76,3002,"-0.32,1,-30.7",
77,3002,"-0.32,1,-31.5",
78,3002,"-0.32,1,-32.3",
79,3002,"-0.32,1,-33.1",
80,3001,"0.32,1,-30.7",
81,3001,"0.32,1,-31.5",
82,3001,"0.32,1,-32.3",
83,3001,"0.32,1,-33.1",
84,3002,"-0.32,1,-36.9",
85,3002,"-0.32,1,-37.7",
86,3002,"-0.32,1,-38.5",
87,3002,"-0.32,1,-39.3",
88,3001,"0,1,-36.9",
89,3001,"0,1,-37.7",
90,3001,"0,1,-38.5",
91,3001,"0,1,-39.3",
92,3002,"0,1,-40.5",
93,3001,"0,1,-41.7",
94,3001,"0,1,-42.5",
95,3001,"0,1,-43.3",
96,3001,"0,1,-44.1",
97,3003,"0.32,1,-36.9",
98,3003,"0.32,1,-37.7",
99,3003,"0.32,1,-38.5",
100,3003,"0.32,1,-39.3",
101,3003,"-0.32,1,-41.7",
102,3003,"-0.32,1,-42.5",
103,3003,"-0.32,1,-43.3",
104,3003,"-0.32,1,-44.1",
105,3002,"0.32,1,-41.7",
106,3002,"0.32,1,-42.5",
107,3002,"0.32,1,-43.3",
108,3002,"0.32,1,-44.1",
109,3003,"-0.32,1,-47.9",
110,3003,"-0.32,1,-48.7",
111,3003,"-0.32,1,-49.5",
112,3003,"-0.32,1,-50.3",
113,3002,"0,1,-47.9",
114,3002,"0,1,-48.7",
115,3002,"0,1,-49.5",
116,3002,"0,1,-50.3",
117,3003,"0,1,-51.5",
118,3002,"0,1,-52.7",
119,3002,"0,1,-53.5",
120,3002,"0,1,-54.3",
121,3002,"0,1,-55.1",
122,3001,"0.32,1,-47.9",
123,3001,"0.32,1,-48.7",
124,3001,"0.32,1,-49.5",
125,3001,"0.32,1,-50.3",
126,3001,"-0.32,1,-52.7",
127,3001,"-0.32,1,-53.5",
128,3001,"-0.32,1,-54.3",
129,3001,"-0.32,1,-55.1",
130,3003,"0.32,1,-52.7",
131,3003,"0.32,1,-53.5",
132,3003,"0.32,1,-54.3",
133,3003,"0.32,1,-55.1",
134,3004,"0,1,-73.5",
135,6001,"0,1,-56",
136,8001,"0,1.208,-57",
137,8001,"0.12,1.236,-57.5",
138,8001,"0.24,1.275,-58",
139,8001,"0.12,1.32,-58.5",
140,8001,"0,1.367,-59",
141,8001,"-0.12,1.417,-59.5",
142,8001,"-0.24,1.463,-60",
143,8001,"-0.12,1.51,-60.5",
144,8001,"0,1.553,-61",
145,8001,"0.12,1.59,-61.5",
146,8001,"0.24,1.627,-62",
147,8001,"0.12,1.66,-62.5",
148,8001,"0,1.685,-63",
149,8001,"-0.12,1.7,-63.5",
150,8001,"-0.24,1.685,-64",
151,8001,"-0.12,1.662,-64.5",
152,8001,"0,1.625,-65",
153,8001,"0.12,1.59,-65.5",
154,8001,"0.24,1.551,-66",
155,8001,"0.12,1.51,-66.5",
156,8001,"0,1.465,-67",
157,8001,"-0.12,1.417,-67.5",
158,8001,"-0.24,1.372,-68",
159,8001,"-0.12,1.323,-68.5",
160,8001,"0,1.276,-69",
161,8001,"0.12,1.236,-69.5",
162,8001,"0.24,1.21,-70",
