编号,对应资源编号,位置,缩放
73,3003,"0,1.265,-19",
74,3003,"0,1.172,-20",
75,3003,"0,1.076,-21",
76,3003,"0,1.01,-22",
77,3002,"0.32,1.265,-19",
78,3002,"0.32,1.172,-20",
79,3002,"0.32,1.076,-21",
80,3002,"0.32,1.01,-22",
81,3003,"-0.32,1,-25.85",
82,3003,"-0.32,1,-26.55",
83,3003,"-0.32,1,-27.25",
84,3003,"-0.32,1,-27.95",
85,3003,"-0.32,1,-28.65",
86,3001,"0,1,-25.85",
87,3001,"0,1,-26.55",
88,3001,"0,1,-27.25",
89,3001,"0,1,-27.95",
90,3001,"0,1,-28.65",
91,3002,"0.32,1,-25.85",
92,3002,"0.32,1,-26.55",
93,3002,"0.32,1,-27.25",
94,3002,"0.32,1,-27.95",
95,3002,"0.32,1,-28.65",
96,3002,"-0.24,1,-31.5",
97,8001,"-0.24,1.15,-32.5",
98,3002,"-0.24,1.15,-33.5",
99,8001,"-0.24,1.36,-34.5",
100,3002,"-0.24,1.4,-35.5",
101,8001,"-0.24,1.58,-36.5",
102,3002,"0.24,1,-32.5",
103,3002,"0.24,1,-34.5",
104,3003,"0.24,1,-36.5",
105,3002,"0.24,1,-38.5",
106,3002,"0.24,1,-40.5",
107,3003,"0.24,1,-42.5",
108,3002,"-0.24,1.5,-37.5",
109,8001,"-0.24,1.6,-38.2",
110,3002,"-0.24,1.5,-38.9",
111,8001,"-0.24,1.6,-39.5",
112,3002,"-0.24,1.48,-40.5",
113,8001,"-0.24,1.5,-41.5",
114,3002,"-0.24,1.26,-42.5",
115,8001,"-0.24,1.25,-43.5",
116,3002,"-0.24,1.05,-44.5",
117,8001,"-0.24,1.1,-45.5",
118,3002,"0.24,1,-44.5",
119,3002,"-0.32,1,-48.85",
120,3002,"-0.32,1,-49.55",
121,3002,"-0.32,1,-50.25",
122,3002,"-0.32,1,-50.95",
123,3002,"-0.32,1,-51.65",
124,3001,"0,1,-48.85",
125,3001,"0,1,-49.55",
126,3001,"0,1,-50.25",
127,3001,"0,1,-50.95",
128,3001,"0,1,-51.65",
129,3003,"0.32,1,-48.85",
130,3003,"0.32,1,-49.55",
131,3003,"0.32,1,-50.25",
132,3003,"0.32,1,-50.95",
133,3003,"0.32,1,-51.65",
134,3001,"0.24,1,-54.5",
135,8001,"0.24,1.15,-55.5",
136,3001,"0.24,1.15,-56.5",
137,8001,"0.24,1.36,-57.5",
138,3001,"0.24,1.4,-58.5",
139,8001,"0.24,1.58,-59.5",
140,3001,"-0.24,1,-55.5",
141,3001,"-0.24,1,-57.5",
142,3002,"-0.24,1,-59.5",
143,3001,"-0.24,1,-61.5",
144,3001,"-0.24,1,-63.5",
145,3002,"-0.24,1,-65.5",
146,3001,"0.24,1.5,-60.5",
147,8001,"0.24,1.6,-61.2",
148,3001,"0.24,1.5,-61.9",
149,8001,"0.24,1.6,-62.5",
150,3001,"0.24,1.48,-63.5",
151,8001,"0.24,1.5,-64.5",
152,3001,"0.24,1.26,-65.5",
153,8001,"0.24,1.25,-66.5",
154,3001,"0.24,1.05,-67.5",
155,8001,"0.24,1.1,-68.5",
156,3001,"-0.24,1,-67.5",
157,3001,"-0.32,1,-71.85",
158,3001,"-0.32,1,-72.55",
159,3001,"-0.32,1,-73.25",
160,3001,"-0.32,1,-73.95",
161,3003,"0,1,-71.85",
162,3003,"0,1,-72.55",
163,3003,"0,1,-73.25",
164,3003,"0,1,-73.95",
165,1301,"0.3,1,-72.35",
166,1301,"0.3,1,-73.45",
167,3003,"-0.32,1,-75.35",
168,3003,"-0.32,1,-76.05",
169,3003,"-0.32,1,-76.75",
170,3003,"-0.32,1,-77.45",
171,1301,"0,1,-75.85",
172,1301,"0,1,-76.95",
173,3001,"0.32,1,-75.35",
174,3001,"0.32,1,-76.05",
175,3001,"0.32,1,-76.75",
176,3001,"0.32,1,-77.45",
177,1301,"-0.3,1,-79.35",
178,1301,"-0.3,1,-80.45",
179,3003,"0,1,-78.85",
180,3003,"0,1,-79.55",
181,3003,"0,1,-80.25",
182,3003,"0,1,-80.95",
183,1301,"0.3,1,-79.35",
184,1301,"0.3,1,-80.45",
185,3005,"0,1,-91.5",
186,6001,"0,1,-83",
187,8001,"0,1.2,-83.5",
188,8001,"0.12,1.2,-84",
189,8001,"0.24,1.2,-84.5",
190,8001,"0.12,1.2,-85",
191,8001,"0,1.2,-85.5",
192,8001,"-0.12,1.2,-86",
193,8001,"-0.24,1.2,-86.5",
194,8001,"-0.12,1.2,-87",
195,8001,"0,1.2,-87.5",
